# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-p" "-t" "exon" "-g" "gene_id" "-a" "/home/shali/compbio/ensemble_gene_annotation/Homo_sapiens.GRCh38.113.gtf" "-o" "/home/shali/compbio/GSE46056_RNAseq/gene_counts/gene_counts.txt" "/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827457.bam" "/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827462.bam" "/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827467.bam" "/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827472.bam" "/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827477.bam" "/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827482.bam" 
Geneid	/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827457.bam	/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827462.bam	/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827467.bam	/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827472.bam	/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827477.bam	/home/shali/compbio/GSE46056_RNAseq/bam_files/SRR827482.bam
ENSG00000142611	55	18	90	153	63	266
ENSG00000284616	0	0	0	0	0	0
ENSG00000157911	513	519	477	508	550	572
ENSG00000260972	0	0	0	0	0	0
ENSG00000224340	0	0	1	0	0	0
ENSG00000229280	0	0	0	0	0	0
ENSG00000142655	995	1026	1071	1175	1367	1404
ENSG00000232596	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0
ENSG00000149527	14	4	32	51	34	58
ENSG00000171621	239	213	120	452	768	309
ENSG00000272235	2	0	0	4	2	0
ENSG00000284694	0	0	0	0	0	0
ENSG00000224387	0	0	0	0	1	1
ENSG00000142583	28	26	28	80	58	96
ENSG00000284674	0	0	0	0	0	0
ENSG00000224338	0	0	0	0	0	0
ENSG00000287727	2	0	0	0	0	0
ENSG00000173614	657	502	610	770	913	890
ENSG00000215720	0	0	0	0	0	0
ENSG00000241326	0	0	0	0	0	0
ENSG00000233623	0	0	2	0	0	1
ENSG00000204624	3	6	8	4	0	8
ENSG00000142606	19	5	20	35	18	32
ENSG00000225931	1	1	5	5	5	3
ENSG00000171729	523	415	587	390	468	566
ENSG00000229393	0	0	0	0	0	0
ENSG00000287586	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0
ENSG00000157916	3770	3426	3158	3507	4127	3836
ENSG00000157881	952	711	618	832	863	761
ENSG00000225387	0	0	0	0	0	0
ENSG00000048707	4511	3477	3063	5046	4840	4883
ENSG00000225196	0	0	0	0	0	3
ENSG00000162444	0	0	0	7	3	0
ENSG00000279625	0	0	0	0	0	0
ENSG00000180758	253	185	172	158	188	176
ENSG00000184677	2942	2131	2194	3030	3076	3139
ENSG00000285833	0	0	0	0	0	0
ENSG00000131697	675	607	534	635	589	506
ENSG00000280222	0	0	0	0	0	0
ENSG00000285945	0	0	0	0	0	0
ENSG00000197921	24	27	14	14	3	3
ENSG00000284666	0	0	0	0	0	0
ENSG00000228943	0	0	0	0	0	0
ENSG00000234397	4	2	3	3	1	0
ENSG00000204138	4899	4001	4569	4902	5523	5235
ENSG00000233419	1	0	0	2	1	0
ENSG00000225011	0	0	0	0	0	0
ENSG00000284676	0	0	0	0	0	0
ENSG00000090020	2208	2090	1559	1671	1830	1562
ENSG00000158006	673	549	506	484	440	427
ENSG00000214812	12	17	17	6	11	12
ENSG00000196581	0	0	0	0	0	0
ENSG00000169403	4086	2870	3169	9461	11620	8312
ENSG00000171612	964	1068	1000	756	831	1017
ENSG00000270927	0	0	0	0	0	0
