GeneID	GSM1122673	GSM1122674	GSM1122675	GSM1122676	GSM1122677	GSM1122678
100287102	18	35	29	16	30	22
653635	2223	1504	2078	2374	2043	2435
102466751	28	8	18	32	21	19
107985730	3	2	1	6	4	8
100302278	1	0	0	0	1	0
645520	0	0	0	0	0	0
79501	0	0	0	0	0	0
100996442	161	127	150	252	190	184
729737	962	535	601	944	602	396
102725121	9	28	18	7	27	11
102723897	2590	1783	2414	2692	2381	2849
102465909	19	7	14	25	15	15
107985721	5	6	3	8	14	8
112268260	55	44	76	75	53	118
729759	1	0	0	0	0	0
100132287	869	445	625	864	549	494
105378947	18	5	10	15	12	9
101928626	0	1	0	0	2	1
113219467	12973	14281	14740	15186	22413	20588
81399	12	9	9	14	11	12
100133331	800	417	623	829	536	513
107984841	123	67	94	130	89	76
107984847	150	93	142	175	116	108
107984849	28	19	17	32	17	13
100288069	190	101	125	178	126	116
105378580	72	44	64	85	77	64
400728	41	50	41	30	50	38
79854	52	36	58	48	47	55
643837	1357	1087	1002	1037	1102	1107
107984850	78	55	95	332	329	371
284593	19	12	28	39	39	59
284600	2	19	2	1	13	5
100130417	1	0	1	1	0	3
107985728	3	3	1	2	1	1
148398	792	697	642	505	495	599
26155	14535	12121	11655	9271	8588	10846
339451	430	267	339	302	253	209
84069	10	31	13	7	4	4
84808	3	3	3	1	2	0
57801	29	19	12	31	22	17
9636	1640	1744	1710	2417	3155	2731
375790	5465	4333	4489	3964	3941	3749
100288175	90	74	84	43	60	79
112267874	27	16	24	21	22	13
105378948	88	70	82	51	62	66
401934	1	0	3	0	0	0
54991	1238	1083	994	953	945	884
254099	0	0	0	0	0	0
406984	0	0	0	0	1	0
406983	0	0	1	0	0	0
554210	0	0	0	0	0	0
100506376	9	8	4	14	2	11
254173	182	108	179	143	113	142
8784	716	588	536	428	589	546
7293	1631	1191	1345	1009	1110	1226
51150	16129	15281	14436	13687	16749	15645
126792	4705	4608	4204	3421	3619	3849
388581	35	26	30	22	20	17
118424	6964	6634	6101	5030	5939	5880
101928895	36	16	34	34	30	26
6339	124	69	118	129	81	109
116983	2964	2434	2483	2470	2511	2226
102465434	1	0	0	1	1	1
109623456	8	7	4	11	6	4
126789	1727	1581	1423	1257	1363	1322
54973	7844	6866	6746	6688	7317	7627
102465435	16	12	14	8	12	9
80772	1692	1709	1306	2326	3120	2370
83756	59	64	69	98	73	84
1855	4000	3590	3324	3013	3083	2962
102466740	2	1	1	2	3	1
54587	193	114	134	249	164	159
54998	6925	6713	4760	5592	6372	4641
81669	5569	3340	4609	5061	3654	3653
148413	2940	2564	2516	2659	2474	2927
55052	6217	6291	4991	4842	5491	5589
107984868	6	1	8	5	1	5
441869	14	19	16	13	19	14
105378585	0	1	1	2	4	1
643965	1	0	0	2	0	2
102724312	3	1	2	3	2	5
107985729	2	1	2	3	4	3
64856	263	236	231	389	555	362
219293	522	457	421	349	336	351
83858	5480	4624	4288	3405	2915	2827
55210	8032	8224	6327	5049	4715	4738
339453	19	8	13	13	12	9
29101	11442	10476	10810	8776	11093	11762
643988	1621	1582	1493	1482	1725	1532
105378586	172	159	153	132	156	128
142678	2863	2040	2870	3864	3914	3862
8510	215	144	184	228	176	232
984	7418	5572	6391	7250	6685	7201
728661	13184	9105	11406	17319	16620	17959
8511	38	20	47	38	20	61
728642	4886	3499	4554	5099	4419	4903
9906	6627	5056	6545	9486	9623	10431
112268218	710	631	604	660	665	664
65220	10157	9317	8075	8293	8940	7915
2782	55205	49788	47830	38069	42806	45394
105378949	40	38	26	27	35	34
163688	18	10	36	17	4	9
339456	78	55	48	18	13	27
85452	1	0	1	0	1	1
107984872	1	0	2	2	1	2
105378589	0	1	1	1	2	1
2563	0	1	2	4	1	4
105378590	0	0	0	0	0	0
105378591	0	0	0	0	0	0
5590	670	456	665	691	615	958
100506504	80	52	88	51	58	64
199990	4086	3625	3560	4132	4629	4219
112268219	432	309	399	332	257	294
105378593	3	6	8	6	6	12
6497	15346	12428	12910	14273	15302	13807
79906	359	241	228	217	161	186
100129534	80	84	74	84	56	52
11079	10946	10014	9437	9998	11721	11493
5192	2060	1860	1759	1941	2082	2299
9651	68	53	131	127	128	200
55229	2307	1902	1596	1954	2193	1860
388585	81	72	45	32	12	9
115110	1105	878	894	1359	1501	1165
8764	4136	3700	3728	5720	6850	5497
100996583	8	7	4	12	9	9
127281	3754	3570	2898	3529	4569	3517
79258	506	480	411	524	651	493
105378597	0	2	0	1	1	0
100287898	24	37	35	44	52	43
105378603	0	0	0	0	0	0
105378602	0	0	0	0	0	0
105378601	0	0	0	0	0	0
112268220	0	0	0	0	0	0
107985732	1	0	0	0	0	0
105378600	0	0	0	0	0	0
105378598	0	0	0	0	1	0
107984904	0	0	0	0	0	0
105378599	0	0	0	0	0	0
140625	0	0	0	0	0	0
440556	17	5	29	59	27	75
63976	149	71	220	355	182	712
100422968	0	0	0	0	0	0
105378606	0	0	1	0	1	6
107984909	2	1	2	1	2	1
105378605	0	5	0	0	1	0
105378604	11	4	4	24	25	7
27237	38	30	56	20	15	30
1953	584	342	795	1521	1265	1764
105378608	0	2	0	0	0	1
693135	0	0	0	0	0	0
105378607	0	0	1	0	0	0
127262	4249	3736	3780	7410	9127	8542
49856	2159	1807	1593	1612	1762	1721
7161	143	121	181	55	58	68
105378610	0	0	1	0	0	0
105378609	0	0	0	0	2	0
57212	4634	2711	3676	3626	2785	3700
148870	36	24	26	50	19	31
388588	1739	1415	1498	1483	1497	1504
57470	9427	7784	7876	10154	10592	11404
9731	4122	3403	3671	3451	3826	4234
1677	1976	1708	1721	1480	1507	2239
107984910	37	18	36	34	14	45
339448	4008	3562	3625	3885	3694	4754
100133612	27	50	39	39	32	52
728716	0	0	0	0	0	0
105376672	0	0	0	0	0	0
