GeneID	GSM1122673	GSM1122674	GSM1122675	GSM1122676	GSM1122677	GSM1122678
100287102	0.08844	0.1856	0.1617	0.08737	0.1384	0.1016
653635	10.2	7.448	10.82	12.11	8.802	10.5
102466751	3.342	1.031	2.439	4.245	2.354	2.132
107985730	0.04526	0.03257	0.01713	0.1006	0.05667	0.1134
100302278	0.05882	0	0	0	0.05523	0
645520	0	0	0	0	0	0
79501	0	0	0	0	0	0
100996442	0.267	0.2273	0.2824	0.4645	0.2959	0.2868
729737	1.426	0.8562	1.012	1.556	0.8382	0.5519
102725121	0.04546	0.1526	0.1032	0.0393	0.1281	0.05222
102723897	11.94	8.87	12.63	13.79	10.3	12.34
102465909	2.268	0.9018	1.897	3.317	1.681	1.683
107985721	0.015	0.01943	0.01021	0.02667	0.03943	0.02255
112268260	0.06771	0.05847	0.1062	0.1026	0.06127	0.1365
729759	0.008644	0	0	0	0	0
100132287	1.614	0.8921	1.318	1.784	0.9575	0.8624
105378947	0.06236	0.0187	0.03933	0.05775	0.03904	0.0293
101928626	0	0.01098	0	0	0.0191	0.00956
113219467	1483	1762	1913	1930	2406	2212
81399	0.01685	0.01364	0.01435	0.02185	0.0145	0.01584
100133331	1.52	0.855	1.343	1.75	0.956	0.9159
107984841	1.078	0.6339	0.9353	1.266	0.7325	0.6261
107984847	2.51	1.68	2.698	3.255	1.823	1.699
107984849	0.8117	0.5945	0.5594	1.031	0.4627	0.3542
100288069	1.125	0.6454	0.8401	1.171	0.7005	0.6455
105378580	0.1137	0.07502	0.1148	0.1492	0.1142	0.09503
400728	0.1712	0.2253	0.1943	0.1392	0.196	0.1491
79854	0.3205	0.2395	0.4058	0.3288	0.272	0.3186
643837	1.193	1.031	0.9999	1.013	0.9097	0.9147
107984850	0.258	0.1963	0.3567	1.22	1.022	1.153
284593	0.0904	0.06162	0.1512	0.2062	0.1742	0.2638
284600	0.004208	0.04315	0.004777	0.002338	0.02568	0.009887
100130417	0.00539	0	0.006118	0.00599	0	0.0152
107985728	0.006679	0.007208	0.002527	0.004949	0.00209	0.002092
148398	2.514	2.388	2.313	1.782	1.475	1.787
26155	42.79	38.52	38.95	30.34	23.74	30.01
339451	1.065	0.7138	0.9532	0.8314	0.5884	0.4866
84069	0.02027	0.06781	0.02991	0.01577	0.007612	0.007619
84808	0.006736	0.00727	0.007646	0.002496	0.004217	0
57801	0.1226	0.08669	0.05759	0.1457	0.08733	0.06755
9636	20.9	23.99	24.73	34.23	37.75	32.71
375790	5.458	4.671	5.089	4.4	3.696	3.519
100288175	0.75	0.6656	0.7946	0.3983	0.4695	0.6188
112267874	0.08108	0.05186	0.08181	0.07009	0.06203	0.03669
105378948	0.2446	0.21	0.2587	0.1576	0.1618	0.1724
401934	0.004272	0	0.01455	0	0	0
54991	4.132	3.901	3.766	3.535	2.962	2.773
254099	0	0	0	0	0	0
406984	0	0	0	0	0.08023	0
406983	0	0	0.1024	0	0	0
554210	0	0	0	0	0	0
100506376	0.01749	0.01678	0.008826	0.03024	0.00365	0.0201
254173	0.3439	0.2202	0.3839	0.3003	0.2005	0.2522
8784	2.365	2.097	2.01	1.571	1.827	1.695
7293	3.606	2.842	3.376	2.48	2.305	2.548
51150	32.17	32.89	32.68	30.34	31.36	29.33
126792	13.61	14.39	13.81	11	9.833	10.47
388581	0.217	0.174	0.2112	0.1516	0.1164	0.09908
118424	13.03	13.4	12.96	10.46	10.44	10.34
101928895	0.1749	0.08388	0.1875	0.1836	0.1368	0.1187
